key,date,value
A,1/1/15,88159525.0
A,10/1/15,129486425.0
A,11/1/15,96892225.0
A,12/1/15,111830650.0
A,2/1/15,64386925.0
A,3/1/15,62618675.0
A,4/1/15,88820950.0
A,5/1/15,85609175.0
A,6/1/15,72632475.0
A,7/1/15,113862175.0
A,8/1/15,89543750.0
A,9/1/15,73574400.0
B,1/1/15,132204150.0
B,10/1/15,206819775.0
B,11/1/15,159012975.0
B,12/1/15,182194000.0
B,2/1/15,93396400.0
B,3/1/15,100359000.0
B,4/1/15,136468075.0
B,5/1/15,117763075.0
B,6/1/15,106384000.0
B,7/1/15,177212000.0
B,8/1/15,147441600.0
B,9/1/15,116842900.0
C,1/1/15,144264225.0
C,10/1/15,205131775.0
C,11/1/15,166885150.0
C,12/1/15,191813650.0
C,2/1/15,99959500.0
C,3/1/15,108969275.0
C,4/1/15,147133625.0
C,5/1/15,129915900.0
C,6/1/15,115404075.0
C,7/1/15,193028775.0
C,8/1/15,154024225.0
C,9/1/15,121301650.0
D,1/1/15,93245425.0
D,10/1/15,107299225.0
D,11/1/15,78969850.0
D,12/1/15,101166925.0
D,2/1/15,59635825.0
D,3/1/15,64651000.0
D,4/1/15,87152925.0
D,5/1/15,75033225.0
D,6/1/15,67426275.0
D,7/1/15,108621150.0
D,8/1/15,84985850.0
D,9/1/15,70967175.0
E,1/1/15,52964725.0
E,10/1/15,66138475.0
E,11/1/15,49738050.0
E,12/1/15,59556350.0
E,2/1/15,36466825.0
E,3/1/15,38387025.0
E,4/1/15,58465400.0
E,5/1/15,52939525.0
E,6/1/15,48578900.0
E,7/1/15,74720925.0
E,8/1/15,57886825.0
E,9/1/15,49741825.0
F,1/1/15,17296950.0
F,10/1/15,19109225.0
F,11/1/15,13179950.0
F,12/1/15,17824425.0
F,2/1/15,9891825.0
F,3/1/15,11899850.0
F,4/1/15,17038750.0
F,5/1/15,17786975.0
F,6/1/15,16351975.0
F,7/1/15,24213525.0
F,8/1/15,17711175.0
F,9/1/15,14921600.0
G,1/1/15,4997575.0
G,10/1/15,4236500.0
G,11/1/15,2569125.0
G,12/1/15,3496550.0
G,2/1/15,3171225.0
G,3/1/15,3118450.0
G,4/1/15,4321350.0
G,5/1/15,4141600.0
G,6/1/15,2999475.0
G,7/1/15,4580050.0
G,8/1/15,3737975.0
G,9/1/15,2897250.0
